,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
35,-,"빅데이터/AI, 웹기획/PM/웹마케팅, DBA/데이터베이스",무관,학력무관,-,-,-
36,-,-  데이터 구축 - 이미지 데이터라벨링(폴리곤/비박스),신입,학력무관,-,-,-
37,"데이터사이언티스트,데이터엔지니어",-,무관,학력무관,-,-,-
38,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
39,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
40,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
41,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
42,-,"빅데이터/AI, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
43,-,무관-AI/빅데이터-데이터라벨링-서울,경력,-,-,-,-
44,-,- AI/빅데이터/클라우드 인프라 클러스터 구성 및 운영 - AI/빅데이터/클라우드 아키텍처 설계 및 구축,경력 (최소 5년 이상),학력무관,-,-,-
45,-,- AI/빅데이터/클라우드 관련 비즈니스 모델 발굴 - AI/빅데이터/클라우드 과제 관리 및 팀 운영,경력 (최소 10년 이상),학력무관,-,-,-
46,"DBA,데이터엔지니어,데이터사이언티스트",-,무관,석사,-,-,-
47,-,DBA/데이터베이스,무관,학력무관,-,-,-
48,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
49,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
50,-,"설문/통계/리서치, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
51,IT개발·데이터,-,경력 (최소 4년 이상),학력무관,-,-,-
52,-,DBA/데이터베이스,무관,학력무관,-,-,-
53,"데이터사이언티스트,IT·기술영업,데이터엔지니어",-,경력 (최소 3년 이상),대졸(4년),-,-,-
54,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
55,-,DBA/데이터베이스,무관,학력무관,-,-,-
56,-,DBA/데이터베이스,무관,학력무관,-,-,-
57,-,빅데이터/AI,무관,학력무관,-,-,-
58,-,DBA/데이터베이스,무관,학력무관,-,-,-
59,-,빅데이터/AI,무관,학력무관,-,-,-
60,-,빅데이터/AI,무관,학력무관,-,-,-
61,-,"설문/통계/리서치, DBA/데이터베이스",무관,학력무관,-,-,-
62,-,DBA/데이터베이스,무관,대졸(4년),-,-,-
63,"데이터사이언티스트,웹기획,경영·비즈니스 기획",-,경력 (최소 2년 이상),대졸(4년),-,-,-
64,데이터웨어하우징,-,경력 (최소 7년 이상),대졸(4년),-,-,-
65,"IT개발·데이터,영업·판매·무역",-,무관,학력무관,-,-,-
66,"IT개발·데이터,의료",-,무관,대졸(2~3년),-,-,-
67,데이터사이언티스트,-,경력 (최소 3년 이상),대졸(4년),-,-,-
68,-,DBA/데이터베이스,무관,학력무관,-,-,-
69,-,"기획/전략/경영, DBA/데이터베이스",무관,학력무관,-,-,-
70,-,DBA/데이터베이스,무관,학력무관,-,-,-
71,-,빅데이터/AI,무관,학력무관,-,-,-
72,데이터웨어하우징,-,경력 (최소 7년 이상),대졸(4년),-,-,-
73,"데이터사이언티스트,머신러닝엔지니어,DBA",-,경력 (최소 5년 이상),대졸(4년),-,-,-
74,"데이터사이언티스트,CRM마케터",-,경력 (최소 7년 이상),학력무관,-,-,-
75,-,DBA/데이터베이스,무관,대졸(4년),-,-,-
76,"데이터사이언티스트,QA",-,경력 (최소 5년 이상),학력무관,-,-,-
77,-,DBA/데이터베이스,무관,학력무관,-,-,-
78,-,"빅데이터/AI, 웹기획/PM/웹마케팅",무관,대졸(4년),-,-,-
79,-,빅데이터/AI,무관,학력무관,-,-,-
80,-,"증권/투자/펀드/외환, DBA/데이터베이스",무관,석사,-,-,-
81,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
82,-,DBA/데이터베이스,경력 (최소 12개월 이상),대졸(4년),-,-,-
83,-,"DBA/데이터베이스, ERP/시스템개발/설계",경력 (최소 12개월 이상),학력무관,-,-,-
84,IT개발·데이터,-,경력 (최소 1년 이상),학력무관,-,-,-
85,IT개발·데이터,-,신입,대졸(4년),-,-,-
86,"퍼포먼스마케터,마케팅기획,데이터사이언티스트",-,경력 (최소 1년 이상),학력무관,-,-,-
87,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
88,"기획·전략,IT개발·데이터",-,무관,대졸(4년),-,-,-
89,"백엔드개발자,데이터엔지니어,시스템엔지니어",-,경력 (최소 1년 이상),대졸(4년),-,-,-
90,-,DBA/데이터베이스,무관,학력무관,-,-,-
91,-,"마케팅/PR/분석, DBA/데이터베이스",무관,학력무관,-,-,-
92,IT개발·데이터,-,경력 (최소 2년 이상),대졸(4년),-,-,-
93,-,"웹기획/PM/웹마케팅, DBA/데이터베이스, QA/테스트/검증",무관,학력무관,-,-,-
94,-,"B2B영업/기술영업, DBA/데이터베이스",무관,학력무관,-,-,-
95,"시스템엔지니어,네트워크엔지니어,DBA,데이터엔지니어,사무담당자",-,무관,학력무관,-,-,-
96,"제휴마케팅,마케팅기획,온라인마케팅",ㆍ파트너사의 빅데이터를 활용한 타겟 마케팅 기획 및 운영 ㆍ기존 클라이언트 관리 및 신규 매체 제안 ㆍ광고 성과(효율)분석 및 인사이트 도출,"신입, 경력 (연수무관)",대졸(2~3년),-,-,-
97,-,"설문/통계/리서치, DBA/데이터베이스",무관,학력무관,-,-,-
98,-,DBA/데이터베이스,무관,학력무관,-,-,-
99,-,빅데이터/AI,무관,학력무관,-,-,-
100,-,DBA/데이터베이스,무관,학력무관,-,-,-
101,"기획·전략,영업·판매·무역",-,경력 (최소 3년 이상),학력무관,-,-,-
102,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
103,-,빅데이터/AI,무관,학력무관,-,-,-
104,-,"설문/통계/리서치, DBA/데이터베이스",무관,석사,-,-,-
105,-,DBA/데이터베이스,경력 (최소 12개월 이상),학력무관,-,-,-
106,"퍼포먼스마케터,데이터사이언티스트",-,경력 (최소 1년 이상),학력무관,-,-,-
107,컨텐츠기획·운영,서비스 기획/운영/메타데이터,"신입, 경력 (연수무관)",학력무관,-,-,-
108,"마케팅기획,사무담당자,총무,사무보조,회계담당자,경리,세무담당자,AE(광고기획자),온라인마케터,콘텐츠마케터,홍보,MD,크리에이티브디렉터,자재관리자,영업관리,영업지원,식품연구원,콘텐츠에디터,크리에이터,데이터사이언티스트,매장관리자",-,"신입, 경력 (연수무관)",학력무관,-,-,-
